iter	Passed	Remaining
0	146	146639
1	150	74969
2	154	51206
3	157	39207
4	160	32017
5	164	27207
6	168	23836
7	171	21257
8	174	19254
9	178	17653
10	182	16381
11	185	15285
12	188	14340
13	191	13509
14	195	12815
15	198	12205
16	201	11670
17	205	11192
18	208	10754
19	211	10350
20	214	10009
21	217	9682
22	221	9391
23	224	9124
24	227	8880
25	230	8649
26	234	8434
27	237	8242
28	240	8055
29	243	7878
30	246	7716
31	249	7561
32	253	7423
33	256	7292
34	259	7161
35	263	7048
36	266	6934
37	270	6840
38	273	6740
39	276	6642
40	280	6554
41	283	6475
42	287	6391
43	291	6326
44	294	6249
45	298	6194
46	301	6121
47	305	6053
48	308	5989
49	311	5927
50	315	5871
51	319	5817
52	322	5763
53	325	5710
54	329	5657
55	332	5608
56	336	5561
57	339	5516
58	343	5478
59	346	5434
60	350	5398
61	354	5355
62	357	5313
63	360	5276
64	364	5238
65	367	5197
66	370	5158
67	372	5104
68	375	5068
69	379	5036
70	382	5001
71	385	4972
72	389	4940
73	392	4910
74	395	4878
75	399	4857
76	403	4832
77	406	4807
78	410	4784
79	414	4763
80	417	4738
81	421	4714
82	425	4696
83	428	4675
84	431	4640
85	434	4616
86	436	4583
87	440	4560
88	444	4545
89	447	4526
90	451	4506
91	455	4490
92	458	4469
93	462	4454
94	466	4439
95	470	4426
96	474	4412
97	477	4395
98	481	4378
99	485	4365
100	488	4348
101	490	4316
102	493	4293
103	495	4266
104	497	4238
105	498	4208
106	500	4179
107	502	4150
108	504	4122
109	505	4092
110	507	4062
111	508	4033
112	510	4005
113	511	3976
114	512	3947
115	514	3917
116	515	3889
117	516	3862
118	517	3832
119	519	3806
120	520	3778
121	521	3751
122	521	3720
123	523	3696
124	524	3671
125	525	3646
126	526	3621
127	527	3595
128	528	3571
129	530	3547
130	531	3527
131	532	3503
132	534	3481
133	535	3458
134	536	3436
135	537	3414
136	538	3393
137	539	3371
138	541	3351
139	542	3331
140	543	3311
141	544	3290
142	545	3269
143	546	3250
144	547	3230
145	549	3211
146	550	3195
147	551	3176
148	552	3156
149	553	3138
150	554	3119
151	555	3100
152	556	3081
153	557	3063
154	558	3045
155	559	3028
156	560	3010
157	561	2994
158	562	2977
159	563	2960
160	564	2943
161	565	2926
162	566	2909
163	567	2893
164	568	2877
165	569	2861
166	570	2845
167	571	2831
168	572	2816
169	573	2801
170	574	2785
171	575	2772
172	576	2757
173	577	2743
174	578	2728
175	579	2713
176	580	2700
177	581	2687
178	582	2673
179	583	2659
180	584	2645
181	585	2632
182	586	2618
183	587	2605
184	588	2592
185	589	2579
186	590	2566
187	591	2553
188	592	2541
189	592	2527
190	593	2515
191	594	2503
192	595	2491
193	596	2479
194	597	2467
195	598	2457
196	599	2445
197	600	2433
198	601	2421
199	602	2410
200	603	2398
201	604	2387
202	605	2376
203	606	2365
204	607	2354
205	608	2343
206	608	2332
207	609	2321
208	610	2311
209	611	2301
210	612	2290
211	613	2281
212	614	2271
213	615	2260
214	616	2250
215	617	2240
216	618	2231
217	619	2220
218	620	2212
219	621	2203
220	622	2194
221	623	2185
222	624	2176
223	625	2167
224	626	2158
225	627	2150
226	628	2141
227	630	2133
228	631	2124
229	632	2116
230	633	2107
231	634	2099
232	634	2090
233	635	2081
234	636	2072
235	637	2064
236	638	2056
237	640	2049
238	641	2041
239	642	2033
240	643	2025
241	643	2016
242	644	2009
243	645	2001
244	646	1993
245	647	1985
246	649	1978
247	649	1970
248	650	1963
249	651	1955
250	652	1948
251	653	1940
252	654	1932
253	655	1925
254	656	1918
255	657	1910
256	658	1902
257	658	1895
258	659	1888
259	660	1880
260	661	1873
261	662	1865
262	663	1858
263	664	1851
264	664	1844
265	665	1837
266	666	1830
267	667	1823
268	668	1816
269	669	1810
270	670	1803
271	671	1797
272	672	1790
273	673	1783
274	674	1777
275	675	1771
276	676	1765
277	677	1758
278	678	1752
279	678	1745
280	679	1739
281	680	1732
282	681	1725
283	682	1719
284	682	1713
285	683	1706
286	684	1700
287	685	1693
288	685	1687
289	686	1681
290	687	1675
291	688	1669
292	689	1663
293	690	1657
294	690	1651
295	691	1645
296	692	1639
297	693	1633
298	694	1627
299	695	1622
300	696	1616
301	697	1611
302	698	1606
303	699	1600
304	700	1595
305	701	1590
306	702	1585
307	703	1579
308	704	1574
309	705	1569
310	705	1563
311	706	1558
312	707	1552
313	708	1547
314	709	1542
315	709	1536
316	710	1531
317	711	1526
318	712	1520
319	713	1515
320	713	1510
321	714	1504
322	715	1499
323	716	1494
324	717	1489
325	717	1484
326	718	1478
327	719	1473
328	720	1468
329	720	1463
330	721	1458
331	722	1453
332	723	1448
333	724	1443
334	724	1438
335	725	1433
336	726	1428
337	726	1423
338	727	1419
339	728	1414
340	729	1409
341	730	1404
342	730	1399
343	731	1395
344	732	1390
345	732	1385
346	733	1380
347	734	1376
348	735	1371
349	736	1366
350	736	1362
351	737	1357
352	738	1352
353	739	1348
354	739	1344
355	740	1339
356	741	1335
357	742	1330
358	742	1326
359	743	1322
360	744	1317
361	745	1313
362	745	1308
363	746	1304
364	747	1300
365	748	1296
366	749	1291
367	749	1287
368	750	1283
369	751	1279
370	752	1275
371	752	1271
372	753	1267
373	754	1262
374	755	1258
375	756	1254
376	756	1250
377	757	1246
378	758	1242
379	759	1238
380	759	1234
381	760	1230
382	761	1226
383	762	1222
384	762	1218
385	763	1214
386	764	1210
387	765	1207
388	766	1203
389	766	1199
390	767	1195
391	768	1191
392	769	1187
393	769	1184
394	770	1180
395	771	1176
396	772	1172
397	772	1168
398	773	1165
399	774	1161
400	775	1157
401	775	1153
402	776	1150
403	777	1146
404	778	1143
405	778	1139
406	779	1135
407	780	1132
408	781	1128
409	781	1125
410	782	1121
411	783	1118
412	784	1114
413	785	1111
414	785	1107
415	786	1104
416	787	1100
417	788	1097
418	788	1093
419	789	1090
420	790	1087
421	791	1083
422	792	1080
423	792	1077
424	793	1073
425	794	1070
426	795	1066
427	795	1063
428	796	1060
429	797	1057
430	798	1053
431	798	1050
432	799	1047
433	800	1044
434	801	1040
435	802	1037
436	802	1034
437	803	1031
438	804	1028
439	805	1024
440	806	1021
441	806	1018
442	807	1015
443	808	1012
444	809	1009
445	810	1006
446	810	1003
447	811	999
448	812	996
449	812	993
450	813	990
451	814	987
452	815	984
453	816	981
454	816	978
455	817	975
456	818	972
457	819	969
458	820	966
459	820	963
460	821	960
461	822	957
462	823	954
463	823	951
464	824	948
465	825	946
466	826	943
467	827	940
468	827	937
469	828	934
470	829	931
471	830	928
472	830	925
473	831	922
474	832	919
475	833	917
476	833	914
477	834	911
478	835	908
479	836	906
480	837	903
481	837	900
482	838	897
483	839	894
484	840	892
485	841	889
486	841	886
487	842	883
488	843	881
489	843	878
490	844	875
491	845	873
492	846	870
493	846	867
494	847	864
495	848	862
496	849	859
497	850	856
498	850	854
499	851	851
500	852	849
501	853	846
502	853	843
503	854	841
504	855	838
505	856	836
506	857	833
507	857	830
508	858	828
509	859	825
510	860	823
511	861	820
512	861	818
513	862	815
514	863	813
515	864	810
516	865	808
517	865	805
518	866	803
519	867	800
520	868	798
521	869	795
522	869	793
523	870	790
524	871	788
525	871	785
526	872	783
527	873	780
528	874	778
529	875	776
530	875	773
531	876	771
532	877	768
533	878	766
534	878	763
535	879	761
536	880	759
537	881	756
538	881	754
539	882	751
540	883	749
541	884	747
542	884	744
543	885	742
544	886	740
545	887	737
546	887	735
547	888	732
548	889	730
549	890	728
550	891	726
551	891	723
552	892	721
553	893	719
554	894	717
555	895	714
556	895	712
557	896	710
558	897	707
559	898	705
560	898	703
561	899	700
562	900	698
563	900	696
564	901	694
565	902	691
566	903	689
567	903	687
568	904	685
569	905	683
570	906	680
571	906	678
572	907	676
573	908	674
574	909	672
575	909	669
576	910	667
577	911	665
578	912	663
579	913	661
580	913	658
581	914	656
582	915	654
583	915	652
584	916	650
585	917	648
586	918	646
587	918	643
588	919	641
589	920	639
590	921	637
591	921	635
592	922	633
593	923	631
594	924	629
595	925	627
596	925	624
597	926	622
598	927	620
599	927	618
600	928	616
601	929	614
602	930	612
603	930	610
604	931	608
605	932	606
606	933	604
607	933	602
608	934	600
609	935	598
610	936	596
